Order,Family,Genus,Species,Time,Disp.M,Disp.95,Mass,Diet,NDVI,HFI
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.472283162,1.314701459,52500,H,-0.500486992,9.935321447
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.364543614,1.371692424,52500,H,-0.252048004,7.737187228
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.516791489,1.394407115,52500,H,-0.078796662,6.270931763
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.310272722,1.13635192,52500,H,0.055045197,5.586210796
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.453598031,1.173826109,52500,H,-0.271758468,5.870611706
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.477331332,1.545388895,52500,H,-0.303184891,5.737635935
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.282836597,1.019485452,52500,H,0.039154483,10.55345402
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.475059266,1.345995358,52500,H,-0.190758809,6.027603949
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.420450911,1.350707073,52500,H,-0.351934968,6.69015175
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.473056392,1.647150301,52500,H,-0.157840335,8.380638357
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.556968272,1.66078764,52500,H,-0.051341339,9.349541084
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.476946651,1.315379145,52500,H,-0.232387464,8.639868894
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.559434531,1.297104386,52500,H,-0.04629445,8.782123715
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.418279396,1.769921884,52500,H,-0.424523658,6.4587517
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.468632396,1.437102262,52500,H,-0.159561873,6.04739567
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.253076663,1.387955755,52500,H,-0.051850248,5.414752393
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.551640666,1.269530804,52500,H,-0.240090312,10.34306211
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.632674632,1.455365515,52500,H,-0.208522685,6.773336388
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.559088063,1.386047382,52500,H,-0.076979926,5.614448158
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.568364245,1.454691854,52500,H,-0.436541172,9.906318047
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.438108003,1.544394584,52500,H,-0.189849403,7.760609511
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.635608106,1.725053831,52500,H,-0.021021612,6.326010701
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.545478714,1.375352693,52500,H,-0.215970427,5.857832968
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.582549823,1.791457832,52500,H,-0.233705768,5.761679314
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.295491357,1.07837791,52500,H,0.082306879,10.38879936
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.556992723,1.380081703,52500,H,-0.140491877,6.000481671
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.531494704,1.61452678,52500,H,-0.293444398,6.788338157
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,32,0.744643345,2.158057132,52500,H,-0.092733381,8.345301642
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.658805659,2.015815202,52500,H,-0.058757479,9.401712561
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.45990864,1.041523453,52500,H,-0.242971909,8.658883545
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.607608833,1.402241425,52500,H,-0.067369323,8.721046469
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.43180409,1.317815805,52500,H,-0.417859439,6.449621974
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.730021155,1.734178338,52500,H,-0.160162247,6.063786981
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.842960567,1.343802479,52500,H,-0.060178804,5.427898514
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.618155322,1.324597183,52500,H,-0.239719532,10.35648643
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.711048603,1.61074615,52500,H,-0.236272494,6.781999445
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.631553345,1.575343724,52500,H,-0.08200436,5.583966633
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.731148283,1.327261133,52500,H,-0.443664261,9.620162978
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.532830201,1.919249862,52500,H,-0.188599514,7.802690592
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.734002978,1.936940714,52500,H,-0.024282306,6.228858293
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.594376542,1.435129022,52500,H,-0.228828335,5.874105212
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.581566816,2.134051024,52500,H,-0.2342421,5.762949013
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.463966072,1.149138584,52500,H,0.056679436,9.76518278
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.586396832,1.49062912,52500,H,-0.145345865,5.935458044
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.666824195,1.994634429,52500,H,-0.31536283,6.791367039
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,64,0.894633499,2.418143179,52500,H,-0.106905368,8.412983075
