ID,Year,Time,VCL,VAP,VSL,LIN,WOB,PROG,BCF,MOT,N,natalyr,f.corr,Mass,Tarsus
4,2012,0,263.019,50.77262,46.23661,0.9106604,0.1930379,1.8261427,10,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,91.36289,40.17192,29.12639,0.7250434,0.4396963,13.64031,15,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,94.11615,31.1057,10.67623,0.3432243,0.3305034,2.5535808,8,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,91.70959,60.99227,29.49219,0.4835398,0.6650588,15.602671,15.925926,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,212.6114,116.1315,79.41052,0.6837981,0.5462149,6.2584505,14.347826,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,189.8458,92.79887,64.12763,0.6910389,0.4888118,17.865526,15.535714,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,293.1841,81.97571,49.54684,0.6044088,0.2796049,10.550522,17.25,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,49.12624,27.1596,16.50959,0.6078733,0.5528532,17.082087,20.357143,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,175.4051,66.15381,41.28654,0.6240992,0.3771487,5.2493105,8.823529,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,104.182,89.53003,52.41257,0.5854188,0.8593616,11.977504,19.166666,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,57.6988,35.95886,20.28858,0.5642163,0.6232167,35.532238,19.186047,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,163.8425,55.97846,36.17602,0.6462489,0.3416601,6.188769,10.588235,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,34.10836,23.17557,13.51574,0.5831891,0.6794689,14.190918,18.529411,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,41.36379,18.65172,10.89361,0.5840535,0.4509191,2.9045472,16,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,107.3274,56.27022,26.43217,0.4697363,0.5242857,15.57974,16.744186,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,281.2116,185.2817,126.042,0.6802719,0.6588695,5.59037,10.588235,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,84.39346,56.4474,22.14582,0.3923266,0.6688599,7.202434,13.75,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,241.2177,80.81985,25.05674,0.310032,0.3350495,2.8941238,14.210526,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,132.1471,76.69145,25.00516,0.3260489,0.5803491,17.776276,15.697675,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,426.0936,248.6373,196.4943,0.7902847,0.5835275,1.7216624,12,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,94.69648,80.76708,35.88177,0.4442622,0.8529047,7.710488,12.162162,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,24.4976,15.17868,10.68859,0.7041845,0.6195987,12.318704,20.921053,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,132.2474,74.92692,21.30526,0.2843472,0.5665664,11.961381,17.625,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,129.1977,69.11278,29.5233,0.4271757,0.534938,23.41291,15.697675,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,215.368,113.755,21.98204,0.1932401,0.5281893,7.9434934,17.44186,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,296.0208,145.0813,74.11182,0.5108295,0.4901053,10.838541,16.428572,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,90.56111,64.99474,23.85855,0.3670844,0.7176893,24.491747,16.588236,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,86.09494,51.67804,30.27539,0.5858463,0.6002448,22.954815,16.034483,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,267.4679,151.6327,110.8427,0.7309953,0.5669189,1.8303703,9,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,103.1668,98.10106,48.51253,0.4945159,0.9508972,0.49451587,4.285714,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,198.7332,130.7057,70.76874,0.5414359,0.6576941,3.5638285,10.714286,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,404.6732,280.1316,265.9147,0.9492493,0.6922417,1.9730577,6,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,161.3183,90.89561,53.67665,0.5905307,0.5634552,11.821101,15,0.6126316,950,2011,0.1142415,25,23.3
