Family,Genus,Species,C.Name,Social.Class,Natal.Den,Hibernaculum,Predation,Food.Storage,Residence,FP,Primary,Secondary,Occupant,BC,Length,Height,Mass.F,Mass.M,Mass.A,ML,Eyes,Lac,Ind,ImpDel,Gestation,Litter,Mat,Long,HR,Pred,GS,Lat,Diet
Mustelidae,Martes,zibellina,Sable,1,0.5,0,0,0,0.5,1,0,0,1,1,425,,1,1.4,1.2,0,33,49,,247,28,3,20,180,30,8,1,71.76,Omnivorous
Mustelidae,Meles,meles,European badger,3,1,1,1,0,1,4,1,0,0,3,900,275,10.9,12.3,11.6,0.4,35,95,,255,42,3,17.5,180,1.7,2,4.65,68.37,Omnivorous
Mustelidae,Meles,leucurus,Asian badger,3,1,1,1,0,1,4,1,0,0,3,694,,,,11.8,0.4,39,84,,277,,,,,,2,,66.37,Omnivorous
Mustelidae,Meles,anakuma,Japanese badger,3,1,1,1,0,1,4,1,0,0,3,800,,,,,,,,,,,,,,,,,41.48,Omnivorous
Mustelidae,Mellivora,capensis,Honey badger,2,1,0,0,0,1,2,1,0,1,2,942.5,250,7.6,8.6,8.1,0.3,33,,,,42,2.5,,288,,,1.7,41.18,Omnivorous
Mustelidae,Melogale,personata,Burmese ferret-badger,,1,0,0,0,1,2,0,0,1,1,370,,,,2,0.1,,,,,,3,,,,,,28.46,
Mustelidae,Mustela,altaica,Mountain weasel,1,0,0,0,0,0.5,0.5,0,0,1,1,260,,0.1,0.3,0.2,-0.3,,56,,0,40,4,,,,>2,1,56.49,Carnivorous
Mustelidae,Mustela,erminea,Ermine (stoat),1,1,0,0,0,1,2,0,0,1,1,175.5,,0.1,0.2,0.2,-0.3,39,63,,270,35,4.5,2.5,18,0.1,7,1,83.56,Carnivorous
Mustelidae,Mustela,eversmannii,Steppe polecat,1,1,0,0,1,1,3,0,1,0,2,426,,1.4,2.1,1.7,0.1,30,45,,0,41,6.9,9,54,,,1,60.08,Carnivorous
Mustelidae,Mustela,frenata,Long-tailed weasel,1,1,0,0,1,1,3,0,1,0,2,345,,0.2,0.3,0.2,-0.2,35,35,,183,27,4.5,8.4,,0.2,12,1,56.08,Carnivorous
Mustelidae,Mustela,lutreola,European mink,1,1,1,1,0,1,4,1,0,0,3,389,,0.4,0.7,0.6,-0.1,30,70,,8.5,30,4.5,12,120,0.2,5,1,66.12,Carnivorous
Mustelidae,Mustela,nigripes,Black-footed ferret,1,1,1,1,0,1,4,0,0,1,1,516,,0.8,1,0.9,0,,,,0,42,3.5,12,144,,8,1,51.75,Carnivorous
Mustelidae,Mustela,nivalis,Least weasel,1,1,1,1,0,1,4,0,0,1,1,177,,0.1,0.1,0.1,-0.5,28,32,49,0,36,5.8,4,10.56,0.1,6,1,77.72,Carnivorous
Mustelidae,Mustela,putorius,European polecat,1,1,0,0,1,1,3,0,0,1,1,374,,0.8,1.3,1,0,35,,,0,41,6,24,72,13,,1,65.4,Carnivorous
Mustelidae,Mustela,sibirica,Siberian weasel,1,0.5,0.5,0,0,0.5,1.5,0,1,0,2,306,,0.4,0.7,0.6,-0.1,30,56,,0,29,5,,106,,,1,66.12,Carnivorous
Mustelidae,Neovison,vison,American mink,1,1,0,0,0,1,2,0,0,1,1,543,,0.6,1.2,0.9,0,25,63,,18.5,29,5,14,120,1.9,8,1,71.31,Carnivorous
Mustelidae,Poecilogale,albinucha,African striped weasel,1,1,0,0,1,1,3,1,1,0,2.5,305,,0.3,0.5,0.4,-0.2,53,77,,0,32,2,18,62,,,1,1.4,Carnivorous
Mustelidae,Taxidea,taxus,American badger,1,1,1,1,0,1,4,1,1,0,2.5,665,,6.3,6.3,6.3,0.3,35,42,,195,42,4,13.2,156,5.4,6,1.2,60,Carnivorous
Mustelidae,Vormela,peregusna,Marbled polecat,1,1,0,0,0,1,2,1,0,1,2,464,,0.5,0.7,0.6,-0.1,39,52,65,223,62,6,,107,,,1,52.76,Carnivorous
Mustelidae,Aonyx,capensis,African clawless otter,2,1,0,0,0,1,2,1,0,1,2,781,,18,20,19,0.4,23,63,365,0,63,3,,132,17,2,2,17.47,Omnivorous
Mustelidae,Aonyx,cinereus,Oriental small-clawed otter,4,1,0,0,0,0.5,1.5,,,,,423,,,2.4,2.4,0.1,35,80,,0,62,3.5,13,180,,,2,31.32,Carnivorous
Mustelidae,Enhydra,lutris,Sea otter,3,0,0,0,0,0,0,0,0,0,0,,,19.9,27.7,23.8,,0,65,196,130,65,1,36.5,228,2.5,4,6,61.5,Carnivorous
Mustelidae,Lontra,canadensis,North american river otter,3,1,1,1,0,1,4,0,0,1,1,653,,7.8,8.6,8.2,0.3,34,84,,240,62,3,30,156,36.7,8,1,70.23,Carnivorous
Mustelidae,Lontra,provocax,Southern river otter,1,0.5,0,0,0,0.5,1,1,0,0,3,598,,,,7.5,0.3,,,,,,2,,,,3,1,-38.36,Carnivorous
Mustelidae,Lontra,longicaudis,Neotropical river otter,1,0.5,0,0,0,0,0.5,1,0,0,3,513,,3.9,9.3,6.6,0.3,44,,,,56,2.5,,,,4,1,25.33,Carnivorous
Mustelidae,Lontra,felina,Marine otter,1,0,0,0,0,0,0,0,0,0,0,560,,4,4,4,0.2,,,280,,65,2,,,,3,1,-8.14,Insectivorous
